name,date,dateSeen,numHelpful,rating,text,title
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,3.0,I am unable to connect with iPad Pro which limits one of the primary reasons for the purchase. I will appreciated recommendations to connect the devices.,A little disappointed.
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,I love my Echo and the ease in using it. I may buy another one.,Excellent Technology
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"With skills too numerous to count, and more being added all of the time, the Amazon Echo is the most useful and used electronic in my house. The sound quality is excellent. Alexa always answers when I call, does what I ask, is always pleasant, and never asks for money! My new best friend!",My new best friend!
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,The features are endless. Perfect device for those who like to go hands free with doing simple tasks!,Excellent Device
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"This is my third Alexa, and I'm very satisfied with its functionality. It works well with smart devices such as lights, locks, thermostats, and so on.. I highly recommend it if you're in the market for a similar device. Don't think twice.",Works well with smart devices
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Bought as a gift for my husband. Works as expected.,Awesome
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Alexa helps me fall asleep at night, tells me the time, weather, jokes, news and plays games with me. Alexa plays music too but I don't use it very often for that. I enjoy the ease of communicating with Alexa.",Alexa is awesome!
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I got it for a friend, and she loves it for the amount of info she gets from it.",Great for the home
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Love my Echo, great sound and feels like I have my own personal assistant..",Love My Echo
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,1.0,I tried to set it up for over an hour and it wouldn't connect to my wifi. The orange ring didn't last more than 30 sec to even give it a chance. It just sat their with the ring of death no matter how quick I was. Powered my router off and back on even. My other devices were connected just fine before and after. So frustrated and no matter how hard I tried it didn't work so I just took it back and got a refund. Totally disappointed!,Totally disappointed
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"There is so much you can do with this, it really is a must have for anyone who loves tech.",Must Have
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,This is my second Echo and I also have purchased 2 of the small ones. They are great and will buy more for gifts this Christmas.,Great product
Amazon Fire Tv,2017-09-06 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Love Alexa! She is very informative and works my lights and plays my favorite music!! I highly recommend this to everyone!,Great purchase
Amazon Fire Tv,2017-09-06 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Nice to have device at home, kidding are loving it.",Excellent Device!
Amazon Fire Tv,2017-09-06 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,3.0,I am sure Alexa does many things but so far she hasn't reached her full potential! User needs to learn to implement her skills!,Need to learn potential
